attendance,clarityColor,easyColor,helpColor,helpCount,id,notHelpCount,onlineClass,quality,rClarity,rClass,rComments,rDate,rEasy,rEasyString,rErrorMsg,rHelpful,rInterest,rOverall,rOverallString,rStatus,rTextBookUse,rWouldTakeAgain,sId,takenForCredit,teacher,teacherGrade,teacherRatingTags,unUsefulGrouping,usefulGrouping
N/A,average,good,poor,0,13729549,0,,poor,2,ACCY201,"She's a very stubborn woman. Yes, she gives a lot of extra credit through the lecture quizzes, yes you can get 100% on your homework easily, yes you can get an A+ on discussion section as long as you come, but the tests are ridiculously difficult. The first one is just a joke. When you use the words &quot;INI Federation&quot; and the weirdest alien names, yo",11/30/2007,5,5.0,,1,Meh,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,poor,good,0,13653075,0,,good,5,ACCY201,"She gives an unbelievable amount of extra credit.  Just go to class, do the homework and you should have an easy B at the least.",11/14/2007,1,1.0,,4,Sorta interested,4.5,4.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,average,0,13632336,0,,average,3,ACCY201,Yea tests are bad because of wording. first part is totally boring and vaguely related to accounting. took two years of accy in HS and got a B because of the first half tests. &quot;If you are smart enough to get into the business school its not worth worrying about&quot; wow...i can't believe you said that. i hope you're aware there are idiots in the COB.,11/10/2007,4,4.0,,2,Sorta interested,2.5,2.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,13541616,0,,average,2,ACCY201,"You need to know how to take her test more than the material itself. Shes very unclear and annoying, but the class is not hard like everyone else is writing. If you are smart enough to get into the business school its not worth worrying about. Class is a joke and so are the people who say its hard.",10/19/2007,1,1.0,,3,Sorta interested,2.5,2.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,13480351,0,,poor,2,ACCY201,Susan Curtis is the worst teacher in the history of the world. She thinks she is being really revolutionary for using off the wall tactics to teach but really she just muddles everything up. She is one of those annoying teachers who thinks they are cool because they swear to you. I wish there was somebody else I could take this class from.,09/18/2007,3,3.0,,2,Sorta interested,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,13385911,0,,poor,1,ACCY202,Tests are tricky because of wording,08/07/2007,4,4.0,,2,Meh,1.5,1.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,poor,good,poor,0,13149350,0,,poor,1,ACCY201,"Barely teaches, doesn't curve tests, wastes time with stories, makes bs questions on tests that have more than one answer (and then ur supposed to pick none of the above wtf) Is lazy, no rev sessions For reference, I asked her a question about something she never covered in lecture and she just said &quot;Idk just read the book and find the answer&quot;",05/11/2007,5,5.0,,1,Really into it,1,1.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,12817527,0,,poor,2,ACCY201,"she was really boring, not funny at all.  she seems like she knows a lot of the male professors on campus.  you must go to class, especially if the weather is bad for e.c.",01/25/2007,3,3.0,,2,Meh,2,2.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12814365,0,,good,4,ACCY201,Go to class.  She gives A LOT of extra credit that will help a lot in the end.,01/24/2007,2,2.0,,4,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,good,0,12810909,0,,good,3,ACCY201,"She was funny, I will give her that.  Also, if you meet her outside FA, she is actually really nice to talk to.  However, that material was boring as hell.",01/23/2007,3,3.0,,5,Low,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12775861,0,,good,5,ACCT201,"Easy, Dont read the books, it's a waste of time, just look through lecture notes",01/15/2007,2,2.0,,3,Sorta interested,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12743151,0,,good,5,ACCY201,"Easy class, average was a B+. Make sure not to miss in lecture quizzes. Also, her tests are ALOT like her practice tests and her final and midterm are ALMOST EXACTLY like her tests 1 and 3. Good teacher...",01/08/2007,2,2.0,,5,It's my life,5,5.0,3,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,poor,0,12716177,0,,poor,2,ACCY202,Overall easy class.  Annoying lectures.  She uses aweful analogies involving shoes and her kids.  The first part of the class is hard and very subjective.  The second part of the class is the much more straight forward Debts and Credits bookkeeping.,01/03/2007,1,1.0,,1,It's my life,1.5,1.5,3,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12635196,0,,good,4,ACCY201,good teacher,12/18/2006,2,2.0,,5,It's my life,4.5,4.5,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,good,good,0,12579801,0,,good,3,ACCY201,"Hilarious, very helpful and really nice. Tough class though.",12/12/2006,5,5.0,,5,Meh,4,4.0,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12507986,0,,good,5,ACCY201,Curtis was f'ing hilarious. She would randomly burst into song. She gives so much extra credit it was remarkebly easy to get a A. Peace homies,12/02/2006,2,2.0,,5,Sorta interested,5,5.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,poor,average,0,12474497,0,,good,3,ACCY201,"Curtis is definitely a nutcase, but the material is very straight forward even though she does try and trick u here and there. Just go to lecture and listen to anything she emphasizes and write it down for the test. In the end, the class didnt put me to sleep too very many times and it was always fun watching the professor make a fool of herself",11/27/2006,1,1.0,,4,It's my life,3.5,3.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,poor,0,12415638,0,,poor,2,ACCY201,She is my nightmare...,11/14/2006,3,3.0,,1,Sorta interested,1.5,1.5,1,No,N/A,1112,N/A,,N/A,,people,people
N/A,good,average,good,0,12402997,0,,good,4,ACCY201,"Curtis is awesome, she is funny as hell and tries to make the material interesting.  Her tests are tricky but you'll get through them fine as long as you do the practice tests.  Not a hard class at all, just keep up with the material and you'll be fine.  Fun teacher, very helpful and caring.",11/13/2006,3,3.0,,4,Low,4,4.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
N/A,average,average,average,0,12333394,0,,average,3,ACCY202,"kinda of a tough class. she is a nutcase, but if you study the information you wil do fine. its a necessary class so u have to take it for biz, but she is mediocre. just study and ull get at least a B",10/30/2006,3,3.0,,3,Low,3,3.0,1,Yes,N/A,1112,N/A,,N/A,,people,people
